"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"New Brunswick","Females","Total","20+","2002–2003","910","17.98","875","946","1.98","2560","281340",
"New Brunswick","Males","Total","20+","2002–2003","1194","21.50","1152","1237","1.80","3085","258355",
"New Brunswick","Both sexes","Total","20+","2003–2004","967","13.37","941","993","1.38","5225","540485",
"New Brunswick","Females","Total","20+","2003–2004","843","17.30","809","877","2.05","2375","281780",
"New Brunswick","Males","Total","20+","2003–2004","1100","20.62","1060","1141","1.87","2845","258700",
"New Brunswick","Both sexes","Total","20+","2004–2005","907","12.95","882","933","1.43","4910","541280",
"New Brunswick","Females","Total","20+","2004–2005","772","16.53","740","805","2.14","2180","282545",
"New Brunswick","Males","Total","20+","2004–2005","1055","20.19","1016","1095","1.91","2730","258735",
"New Brunswick","Both sexes","Total","20+","2005–2006","904","12.91","879","930","1.43","4905","542525",
"New Brunswick","Females","Total","20+","2005–2006","765","16.43","733","797","2.15","2165","283190",
